dofs  Ju  Juh  Je  eta_1  eta_2  eta^_1  eta^_2
81  1.65883e+00  1.2916763932e+00  3.6714889133e-01  2.74250e-01  2.74250e-01  3.31605e-01  4.50340e-01 
114  1.65883e+00  1.4540798721e+00  2.0474541244e-01  1.50338e-01  1.50338e-01  2.10822e-01  2.88495e-01 
237  1.65883e+00  1.5565689831e+00  1.0225630143e-01  8.09628e-02  8.09628e-02  1.20286e-01  1.91048e-01 
458  1.65883e+00  1.5947382187e+00  6.4087065812e-02  4.25231e-02  4.25231e-02  6.80221e-02  9.35925e-02 
906  1.65883e+00  1.6248662975e+00  3.3958986994e-02  2.24377e-02  2.24377e-02  3.43620e-02  5.35394e-02 
1716  1.65883e+00  1.6419741543e+00  1.6851130192e-02  1.14392e-02  1.14392e-02  1.64738e-02  2.62409e-02 
3275  1.65883e+00  1.6508523937e+00  7.9728908356e-03  5.43651e-03  5.43651e-03  7.45765e-03  1.09400e-02 
6277  1.65883e+00  1.6555253591e+00  3.2999254343e-03  2.36366e-03  2.36366e-03  3.08317e-03  4.89778e-03 
11610  1.65883e+00  1.6575419809e+00  1.2833036497e-03  1.02179e-03  1.02179e-03  1.30034e-03  2.13662e-03 
24252  1.65883e+00  1.6583322061e+00  4.9307838782e-04  4.34794e-04  4.34794e-04  5.62258e-04  9.69037e-04 
