81  1.33874e+00  1.33874e+00  1.10719e+00  8.15270e-01
122  1.33742e+00  1.33742e+00  9.91896e-01  7.56249e-01
266  1.33959e+00  1.33959e+00  9.65449e-01  7.61442e-01
501  1.32060e+00  1.32060e+00  8.86046e-01  7.21625e-01
927  1.32031e+00  1.32031e+00  8.97532e-01  7.08355e-01
1734  1.25998e+00  1.25998e+00  8.78210e-01  7.17496e-01
3137  1.22084e+00  1.22084e+00  8.90561e-01  7.11847e-01
5767  1.15363e+00  1.15363e+00  8.87795e-01  7.26971e-01
10709  1.06059e+00  1.06059e+00  8.30372e-01  7.04459e-01
21846  9.18270e-01  9.18270e-01  7.22253e-01  6.47565e-01
