dofs  Ju  Juh  Je  eta_1  eta_2  eta^_1  eta^_2
81  1.65883e+00  1.2916763932e+00  3.6714889133e-01  2.74250e-01  2.74250e-01  3.31605e-01  4.50340e-01 
286  1.65883e+00  1.4968371506e+00  1.6198813391e-01  1.27441e-01  1.27441e-01  1.61650e-01  2.25050e-01 
1065  1.65883e+00  1.5683567250e+00  9.0468559491e-02  6.35972e-02  6.35972e-02  8.03957e-02  1.12663e-01 
4169  1.65883e+00  1.6181030451e+00  4.0722239450e-02  3.08765e-02  3.08765e-02  3.78975e-02  5.01578e-02 
16583  1.65883e+00  1.6380524879e+00  2.0772796593e-02  1.49336e-02  1.49336e-02  1.75073e-02  2.32229e-02 
